model,best_params,cv_best_f1_macro,val_accuracy,val_f1_macro,val_precision_macro,val_recall_macro
knn,"{'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",0.6524821748598838,0.6210526315789474,0.58,0.6429718554088303,0.5604542124542123
svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.7482010244657304,0.6421052631578947,0.5955488721804512,0.6226147186147186,0.5864542124542125
decision_tree,"{'clf__max_depth': None, 'clf__min_samples_split': 4}",0.5292093826366272,0.6,0.5824261953585262,0.6253174603174603,0.5711721611721612
random_forest,"{'clf__max_depth': None, 'clf__n_estimators': 300}",0.7385429673525647,0.7157894736842105,0.6731494213847155,0.7553920475659606,0.637069597069597
mlp,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (80, 40, 20)}",0.7351513584454761,0.6,0.5523396461476956,0.5864957264957266,0.542930402930403
ensemble_voting_soft_20,predefined set (20 estimadores variados),0.7219132129375619,0.6736842105263158,0.6387876963219429,0.6798830409356725,0.6193113553113553
